ID$,SHAPE$,LEFT$,TOP$,RIGHT$,BOTTOM$,廧強1,廧強2,廧強3,揹榖,FAX,棙梡帪娫,奒悢,掕媥擔,挀幵応,晘抧撪偺忬嫷偍傛傃巤愝擖岥,桿摫巤愝,埬撪愝旛,徃崀愝旛,僩僀儗,岞廜揹榖,偦偺懠偺愝旛,旛峫,僇僥僑儕乕
31457,1135.15016253256634.1854603302067,135.150162532566,34.1854603302067,135.150162532566,34.1854603302067,榓壧嶳導,榓壧嶳巗,揷栰175,073-445-0808,073-445-0030,廔擔,抧忋係奒,柍媥,仢堦斒挀幵応丂桳傝丗俆侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,仢堦斒埬撪丂桳傝,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗俉売強<br>仢庤偡傝晅曋強丂桳傝丗俉売強,,仢幵堉巕偺忢旛丂桳傝丗侾侽戜<br>仢幵堉巕梡偺梺幒丂桳傝<br>仢幵堉巕摍偵攝椂偟偨曋強丄梺幒傪姰旛偟偨嫃幒丂桳傝丗俀俈幒,,暥壔巤愝
31458,1135.5613725636234.3084002368622,135.56137256362,34.3084002368622,135.56137256362,34.3084002368622,榓壧嶳導,嫶杮巗,柤屆慮1171-3,0736-42-5005,,8:30乣17:15,抧忋俀奒,搚丄擔丄廽擔丄12/29乣1/3,,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,仢桿摫僽儘僢僋丂桳傝,,,仢梞幃戝曋強丂桳傝丗侾売強<br>仢庤偡傝晅曋強丂桳傝丗侾売強,,,,暥壔巤愝
31459,1135.55976154460334.310177798936,135.559761544603,34.310177798936,135.559761544603,34.310177798936,榓壧嶳導,嫶杮巗,柤憅1202-2,0736-43-2528,,10:00乣15:30,抧忋俀奒,搚丄擔丄廽擔丄12/29乣1/3,仢堦斒挀幵応丂桳傝,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,仢堦斒埬撪丂桳傝,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯<br>仢梞幃戝曋強丂桳傝丗係売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,仢幵堉巕偺忢旛丂桳傝丗俀戜,,暥壔巤愝
31460,1135.57267720511134.3075950882982,135.572677205111,34.3075950882982,135.572677205111,34.3075950882982,榓壧嶳導,嫶杮巗,崅栰岥挰暁尨267-1,0736-44-2185,0736-44-2189,9:00乣18:00,抧忋俀奒,擔梛擔丂侾寧侾擔乣侾寧俁擔丂侾俀寧俁侽擔乣侾俀寧俁侾擔,仢堦斒挀幵応丂桳傝丗俉戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮儂乕儖墶乯<br>仢梞幃戝曋強丂桳傝丗俁売強<br>仢庤偡傝晅曋強丂桳傝丗係売強,,仢幵堉巕偺忢旛丂桳傝丗俀戜,,暥壔巤愝
31461,1135.56084690966534.1312510138407,135.560846909665,34.1312510138407,135.560846909665,34.1312510138407,榓壧嶳導,埳搒孲偐偮傜偓挰,壴墍怴巕256,0737-26-0832,,8:00乣16:00,,10/1乣4/30,仢堦斒挀幵応丂桳傝丗侾侽戜,,,仢堦斒埬撪丂桳傝,,仢梞幃戝曋強丂桳傝丗俀売強,,,,暥壔巤愝
31462,1135.17238285871934.1864329242806,135.172382858719,34.1864329242806,135.172382858719,34.1864329242806,榓壧嶳導,榓壧嶳巗,榓壧塝撿3-10-1,073-445-1188,073-445-1189,9:00乣22:00,抧忋俀奒,壩梛擔,仢堦斒挀幵応丂桳傝丗俀俁戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮揰帤昞帵丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強<br>仢梞幃戝曋強丂桳傝丗侾俁売強<br>仢庤偡傝晅曋強丂桳傝丗侾売強,仢側偟,仢庼擕幒丂桳傝丗乮忈奞幰梡曋強乯<br>仢幵堉巕偺忢旛丂桳傝丗侾戜乮堦斒儘價乕乯<br>仢幵堉巕梡娤棗惾丂桳傝丗乮抜嵎丄屌掕堉巕側偟乯,,暥壔巤愝
31463,1135.17020482304134.1993972095704,135.170204823041,34.1993972095704,135.170204823041,34.1993972095704,榓壧嶳導,榓壧嶳巗,廐梩挰43-5,073-445-4155,073-445-2109,9:00乣17:00,抧忋俀奒,搚丒擔丒嵳擔,仢堦斒挀幵応丂桳傝丗侾俀戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝<br>仢梞幃戝曋強丂桳傝丗係売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,仢幵堉巕偺忢旛丂桳傝丗係戜乮侾奒庴晅乯<br>仢幵堉巕梡偺梺幒丂桳傝,,暥壔巤愝
31464,1135.18477181151334.0326338683351,135.184771811513,34.0326338683351,135.184771811513,34.0326338683351,榓壧嶳導,桳揷孲搾愺挰,暿強61-1,0737-62-2900,0737-62-2900,9:00乣21:00,抧忋侾奒,側偟,仢堦斒挀幵応丂桳傝丗俈戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒楲壓乯<br>仢梞幃戝曋強丂桳傝丗侾売強<br>仢庤偡傝晅曋強丂桳傝丗係売強,,仢幵堉巕偺忢旛丂桳傝丗侾戜,,暥壔巤愝
31465,1135.18144430656534.0416827724962,135.181444306565,34.0416827724962,135.181444306565,34.0416827724962,榓壧嶳導,桳揷孲搾愺挰,搾愺2435-1,0737-63-5511,0737-63-6352,8:45乣21:30,抧忋係奒,搚丄擔丄廽擔乮搒崌偵傛傝奐娰乯,仢堦斒挀幵応丂桳傝丗俉侽戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗俁売強<br>仢梞幃戝曋強丂桳傝丗俁売強<br>仢庤偡傝晅曋強丂桳傝丗俁売強,,仢幵堉巕偺忢旛丂桳傝丗侾戜<br>仢幵堉巕梡娤棗惾丂桳傝丗俆惾,仢幵僀僗梡僩僀儗偑奺奒偵姰旛丅,暥壔巤愝
31466,1135.18163702749734.0343946988704,135.181637027497,34.0343946988704,135.181637027497,34.0343946988704,榓壧嶳導,桳揷孲搾愺挰,搾愺1546,0737-63-6982,,9:00乣22:00,抧忋俀奒,擭拞柍媥,仢堦斒挀幵応丂桳傝丗俁戜,,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯,,,,暥壔巤愝
31467,1135.15188535709734.0548151227921,135.151885357097,34.0548151227921,135.151885357097,34.0548151227921,榓壧嶳導,桳揷孲搾愺挰,戝帤揷359-1,0737-63-0971,,9:00乣22:00,抧忋侾奒,擭拞柍媥,,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,,仢梞幃戝曋強丂桳傝丗侾売強,,,仢擖岥偵偼栘惢偺僗儘乕僾偑偁傝丄幵僀僗偱偺棙梡壜丅,暥壔巤愝
31468,1135.15188535709734.0548151227921,135.151885357097,34.0548151227921,135.151885357097,34.0548151227921,榓壧嶳導,桳揷孲搾愺挰,戝帤揷359-1,0737-63-6674,,9:00乣22:40,抧忋俀奒,擭拞柍媥,,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強<br>仢庤偡傝晅曋強丂桳傝丗侾売強,,,,暥壔巤愝
31469,1135.17747058673534.0375887444274,135.177470586735,34.0375887444274,135.177470586735,34.0375887444274,榓壧嶳導,桳揷孲搾愺挰,搾愺1675-1,0737-63-5175,0737-63-3304,8:30乣17:30,抧忋俀奒,搚丄擔丄廽擔,仢堦斒挀幵応丂桳傝丗俉戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝<br>仢懠偺桿摫愝旛丗僀儞僞乕儂儞,仢堦斒埬撪丂桳傝<br>仢揰帤埬撪丂桳傝,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒揰帤昞帵丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗係売強乮侾奒丒俀奒乯<br>仢梞幃戝曋強丂桳傝丗俉売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,仢幵堉巕偺忢旛丂桳傝丗侾侽戜,,暥壔巤愝
31470,1135.20662164767934.0282943518625,135.206621647679,34.0282943518625,135.206621647679,34.0282943518625,榓壧嶳導,桳揷孲搾愺挰,戝帤嶳揷133-4,0737-63-0953,,9:00乣22:00,抧忋俀奒,擭拞柍媥,仢堦斒挀幵応丂桳傝丗侾侽戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯<br>仢梞幃戝曋強丂桳傝丗俀売強,,,仢幵僀僗梡僩僀儗偑侾奒偵偁傞丅侾奒偵偮偄偰偼幵僀僗偱偺棙梡壜丅,暥壔巤愝
31471,1135.17966474189234.0392275091955,135.179664741892,34.0392275091955,135.179664741892,34.0392275091955,榓壧嶳導,桳揷孲搾愺挰,搾愺1696-1,0737-63-5761,,8:45乣17:30,抧忋俀奒,搚丄擔丄廽擔丄12/28乣1/4,仢堦斒挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,,,,,仢夵廋偵傛傝丄恎懱忈奞幰梡曋強丄揰帤僽儘僢僋偺愝抲梊掕丅,暥壔巤愝
31472,1135.19330233273734.0428940040739,135.193302332737,34.0428940040739,135.193302332737,34.0428940040739,榓壧嶳導,桳揷孲搾愺挰,惒尨6,0737-63-6085,,8:45乣17:30,抧忋俀奒,搚丄擔丄廽擔丄12/28乣1/4,仢堦斒挀幵応丂桳傝丗侾戜,,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯<br>仢梞幃戝曋強丂桳傝丗侾売強<br>仢庤偡傝晅曋強丂桳傝丗侾売強,,,仢幵僀僗梡僩僀儗偑侾奒偵偁傞丅,暥壔巤愝
31473,1135.18865355623934.0362121525473,135.188653556239,34.0362121525473,135.188653556239,34.0362121525473,榓壧嶳導,桳揷孲搾愺挰,戝帤搾愺2123-17,0737-63-6315,,8:45乣17:30,抧忋俀奒,搚丄擔丄廽擔,仢堦斒挀幵応丂桳傝丗俁戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯<br>仢梞幃戝曋強丂桳傝丗侾売強,,,,暥壔巤愝
31474,1135.1799985040734.0272288699845,135.17999850407,34.0272288699845,135.17999850407,34.0272288699845,榓壧嶳導,桳揷孲峀愳挰,戝帤峀167-1,0737-63-5011,0737-63-5036,8:30乣17:30,抧忋俀奒,搚丄擔丄廽擔,仢堦斒挀幵応丂桳傝丗俈戜<br>仢忈奞幰梡挀幵応丂桳傝丗俀戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒揰帤昞帵丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯<br>仢梞幃戝曋強丂桳傝丗侾売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,仢幵堉巕偺忢旛丂桳傝丗俀戜,仢僨傿僒乕價僗傪幚巤偟偰偄傞偺偱丄棙梡偟偰捀偒偨偄偱偡丅,暥壔巤愝
31475,1135.17274906211834.0295061493111,135.172749062118,34.0295061493111,135.172749062118,34.0295061493111,榓壧嶳導,桳揷孲峀愳挰,峀侾俆侽侽,0737-64-0866,0737-63-2628,8:30乣17:30,抧忋俀奒,搚丄擔丄廽擔,仢堦斒挀幵応丂桳傝丗俁侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗俆戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,仢堦斒埬撪丂桳傝,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒揰帤昞帵丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮儂乕儖撪乯<br>仢梞幃戝曋強丂桳傝丗俀売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,仢幵堉巕偺忢旛丂桳傝丗俁戜<br>仢幵堉巕梡梺幒丂桳傝,仢寶暔偺梡搑偼曐寬暉巸僙儞僞乕偱偁傞偨傔丄恎忈幰崅楊幰偵懳偟偰偺攝椂偑偄偒偲偳偄偰偄傑偡丅,暥壔巤愝
31476,1135.17294339536834.0310337814124,135.172943395368,34.0310337814124,135.172943395368,34.0310337814124,榓壧嶳導,桳揷孲峀愳挰,峀侾係俇俋,栶応,栶応,8:30乣21:00,抧忋俀奒,側偟,仢堦斒挀幵応丂桳傝丗俉侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗俆戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,仢桿摫僽儘僢僋丂桳傝,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮抝巕曋強墶乯<br>仢梞幃戝曋強丂桳傝丗俀売強<br>仢庤偡傝晅曋強丂桳傝丗侾売強,,仢幵堉巕梡娤棗惾丂桳傝丗侾侽惾,仢幵堉巕摍偱棃傜傟偨曽傕棙梡偱偒傑偡丅,暥壔巤愝
31477,1135.17420766096234.0256386184476,135.174207660962,34.0256386184476,135.174207660962,34.0256386184476,榓壧嶳導,桳揷孲峀愳挰,峀538-1,0737-63-2229,側偟,8:00乣22:00,抧忋俀奒,摿偵側偟,仢堦斒挀幵応丂桳傝丗俆戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜乮僗儘乕僾偺嬓偑105cm乯<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮1奒尯娭儂乕儖墶乯,仢幵堉巕梡揹榖丂桳傝<br>仢擄挳幰梡揹榖丂桳傝乮壒検儃僞儞挷惍弌棃傞乯,,仢忈奞幰偺曽偑棃偰傕怑堳摍偑懳墳偟傑偡丅,暥壔巤愝
31478,1135.23271278042234.0708917383629,135.232712780422,34.0708917383629,135.232712780422,34.0708917383629,榓壧嶳導,桳揷孲桳揷愳挰,彲814-1,0737-52-5859,0737-52-5860,8:30乣22:00,抧忋俀奒,,仢堦斒挀幵応丂桳傝丗俆侽戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒儂乕儖乯,,仢幵堉巕偺忢旛丂桳傝丗侾戜,,暥壔巤愝
31479,1135.21621602754434.0736966481001,135.216216027544,34.0736966481001,135.216216027544,34.0736966481001,榓壧嶳導,桳揷孲桳揷愳挰,妏75-1,0737-52-8886,0736-52-8890,8:30乣17:00,抧忋俁奒,搚丄擔丄廽擔,仢堦斒挀幵応丂桳傝丗俆俀戜<br>仢忈奞幰梡挀幵応丂桳傝丗係戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝<br>仢懠偺桿摫愝旛丗屇弌偟,仢堦斒埬撪丂桳傝<br>仢揰帤埬撪丂桳傝,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒揰帤昞帵丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗俀売強乮侾奒丒俀奒乯<br>仢梞幃戝曋強丂桳傝丗慡偰<br>仢庤偡傝晅曋強丂桳傝丗慡偰,,仢幵堉巕偺忢旛丂桳傝丗俈戜,,暥壔巤愝
31480,1135.25074104190134.0668093075804,135.250741041901,34.0668093075804,135.250741041901,34.0668093075804,榓壧嶳導,桳揷孲桳揷愳挰,嬥壆657,0737-32-4666,,8:30乣17:00,抧忋俀奒,搚丄擔丄廽擔,仢堦斒挀幵応丂桳傝丗侾侽侽戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,仢堦斒埬撪丂桳傝,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮儂乕儖墶乯,,仢幵堉巕偺忢旛丂桳傝丗侾戜,,暥壔巤愝
31481,1135.4306364054134.0839422675559,135.43063640541,34.0839422675559,135.43063640541,34.0839422675559,榓壧嶳導,桳揷孲桳揷愳挰,惔悈401-2,0737-25-1111,0737-25-0220,8:30乣21:00,抧忋俁奒,擭拞柍媥,仢堦斒挀幵応丂桳傝丗侾係侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,,,仢幵堉巕梡揹榖丂桳傝丗侾売強,仢幵堉巕偺忢旛丂桳傝丗侾戜<br>仢僉儍僢僔儏僐乕僫乕丂桳傝,仢恎忈幰梡曋強偼側偄偑丄昁梫偵墳偠偰億乕僞僽儖偺曋強傪棙梡偱偒傞丅,暥壔巤愝
31482,1135.43469666813934.0834505156173,135.434696668139,34.0834505156173,135.434696668139,34.0834505156173,榓壧嶳導,桳揷孲桳揷愳挰,惔悈1070,0737-25-1059,,8:30乣17:00,抧忋俀奒,姱挕屼梡擺傔偺梻擔偐傜1/1傑偱,仢堦斒挀幵応丂桳傝丗侾俈戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,仢堦斒埬撪丂桳傝,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗侾売強乮侾奒乯,,,,暥壔巤愝
